kategorie,alter,bildung,sex,2023,2021,2019
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,sekundarstufe_3,F,126660.0,160468.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,tertiaerstufe,F,236562.0,206563.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",60>,sekundarstufe_4,F,67625.0,63642.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",15-29,sekundarstufe_2,M,60224.0,59736.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",15-29,tertiaerstufe,M,93774.0,70799.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",15-29,oblig_schulbild_<25,M,174854.0,176191.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,ohne_nachoblig_schulbild_>25,M,78745.0,70192.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,sekundarstufe_3,M,294921.0,179457.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,tertiaerstufe,M,610724.0,578027.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",60>,sekundarstufe_4,M,102073.0,125397.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",60>,tertiaerstufe,M,262198.0,168756.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",15-29,oblig_schulbild_<25,F,147675.0,110130.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,ohne_nachoblig_schulbild_>25,F,64322.0,58148.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,sekundarstufe_3,F,226902.0,211661.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",30-59,tertiaerstufe,F,471821.0,362845.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",60>,sekundarstufe_4,F,138032.0,75595.0,
"Ändern der Browsereinstellungen, um Cookies einzuschränken oder zu blockieren",60>,tertiaerstufe,F,122948.0,96329.0,
Online Tracking - Sehr beunruhigt sein,15-29,oblig_schulbild_<25,M,64840.0,,
Online Tracking - Sehr beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,M,70964.0,,
Online Tracking - Sehr beunruhigt sein,30-59,sekundarstufe_3,M,128592.0,,
Online Tracking - Sehr beunruhigt sein,30-59,tertiaerstufe,M,261736.0,,
Online Tracking - Sehr beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,M,46107.0,,
Online Tracking - Sehr beunruhigt sein,60>,sekundarstufe_4,M,82206.0,,
Online Tracking - Sehr beunruhigt sein,60>,tertiaerstufe,M,176254.0,,
Online Tracking - Sehr beunruhigt sein,15-29,oblig_schulbild_<25,F,57143.0,,
Online Tracking - Sehr beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,F,70577.0,,
Online Tracking - Sehr beunruhigt sein,30-59,sekundarstufe_3,F,155832.0,,
Online Tracking - Sehr beunruhigt sein,30-59,tertiaerstufe,F,270632.0,,
Online Tracking - Sehr beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,F,65150.0,,
Online Tracking - Sehr beunruhigt sein,60>,sekundarstufe_4,F,165359.0,,
Online Tracking - Sehr beunruhigt sein,60>,tertiaerstufe,F,99113.0,,
Online Tracking - Etwas beunruhigt sein,15-29,tertiaerstufe,M,59514.0,,
Online Tracking - Etwas beunruhigt sein,15-29,oblig_schulbild_<25,M,170397.0,,
Online Tracking - Etwas beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,M,62085.0,,
Online Tracking - Etwas beunruhigt sein,30-59,sekundarstufe_3,M,257941.0,,
Online Tracking - Etwas beunruhigt sein,30-59,tertiaerstufe,M,445283.0,,
Online Tracking - Etwas beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,M,44206.0,,
Online Tracking - Etwas beunruhigt sein,60>,sekundarstufe_4,M,122829.0,,
Online Tracking - Etwas beunruhigt sein,60>,tertiaerstufe,M,206270.0,,
Online Tracking - Etwas beunruhigt sein,15-29,tertiaerstufe,F,52804.0,,
Online Tracking - Etwas beunruhigt sein,15-29,oblig_schulbild_<25,F,222666.0,,
Online Tracking - Etwas beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,F,88731.0,,
Online Tracking - Etwas beunruhigt sein,30-59,sekundarstufe_3,F,306025.0,,
Online Tracking - Etwas beunruhigt sein,30-59,tertiaerstufe,F,423194.0,,
Online Tracking - Etwas beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,F,55377.0,,
Online Tracking - Etwas beunruhigt sein,60>,sekundarstufe_4,F,217738.0,,
Online Tracking - Etwas beunruhigt sein,60>,tertiaerstufe,F,117881.0,,
Online Trackig - Nicht beunruhigt sein,15-29,oblig_schulbild_<25,M,162035.0,,
Online Trackig - Nicht beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,M,87348.0,,
Online Trackig - Nicht beunruhigt sein,30-59,sekundarstufe_3,M,211989.0,,
Online Trackig - Nicht beunruhigt sein,30-59,tertiaerstufe,M,319019.0,,
Online Trackig - Nicht beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,M,57762.0,,
Online Trackig - Nicht beunruhigt sein,60>,sekundarstufe_4,M,108372.0,,
Online Trackig - Nicht beunruhigt sein,60>,tertiaerstufe,M,114862.0,,
Online Trackig - Nicht beunruhigt sein,15-29,tertiaerstufe,F,56880.0,,
Online Trackig - Nicht beunruhigt sein,15-29,oblig_schulbild_<25,F,138550.0,,
Online Trackig - Nicht beunruhigt sein,30-59,ohne_nachoblig_schulbild_>25,F,67954.0,,
Online Trackig - Nicht beunruhigt sein,30-59,sekundarstufe_3,F,242625.0,,
Online Trackig - Nicht beunruhigt sein,30-59,tertiaerstufe,F,227081.0,,
Online Trackig - Nicht beunruhigt sein,60>,ohne_nachoblig_schulbild_>25,F,58458.0,,
Online Trackig - Nicht beunruhigt sein,60>,sekundarstufe_4,F,102481.0,,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",15-29,oblig_schulbild_<25,M,84125.0,118590.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",30-59,sekundarstufe_3,M,115666.0,108116.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",30-59,tertiaerstufe,M,349544.0,333911.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",60>,sekundarstufe_4,M,64809.0,78280.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",60>,tertiaerstufe,M,130815.0,111554.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",15-29,oblig_schulbild_<25,F,68476.0,62267.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",30-59,sekundarstufe_3,F,78645.0,75135.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",30-59,tertiaerstufe,F,164070.0,179910.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",60>,sekundarstufe_4,F,63848.0,51652.0,
"Software verwenden, die Verfolgung von Online-Aktivitäten einschränkt",60>,tertiaerstufe,F,69007.0,62325.0,
